S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state,constituency,value
140,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,892766,4277,897043,55.04,Assam,Kaziranga - 10,S0310
141,JOYANTA BASUMATARY,"United People’s Party, Liberal",484681,4314,488995,39.39,Assam,Kokrajhar  - 1,S031
142,PRADAN BARUAH,Bharatiya Janata Party,659307,3815,663122,54.75,Assam,Lakhimpur - 12,S0312
143,PRADYUT BORDOLOI,Indian National Congress,786620,2230,788850,50.89,Assam,Nagaon - 9,S039
144,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,647572,4833,652405,59.89,Assam,Silchar  - 8,S038
145,RANJIT DUTTA,Bharatiya Janata Party,771018,4770,775788,60.21,Assam,Sonitpur - 11,S0311
146,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad,853642,6471,860113,51.02,Assam,Barpeta - 3,S033
147,DILIP SAIKIA,Bharatiya Janata Party,864583,3804,868387,47.95,Assam,Darrang-Udalguri - 4,S034
148,RAKIBUL HUSSAIN,Indian National Congress,1468549,3336,1471885,59.99,Assam,Dhubri  - 2,S032
149,SARBANANDA SONOWAL,Bharatiya Janata Party,691153,2609,693762,54.27,Assam,Dibrugarh - 13,S0313
150,AMARSING TISSO,Bharatiya Janata Party,332440,2180,334620,49.01,Assam,Diphu - 6,S036
151,BIJULI KALITA  MEDHI,Bharatiya Janata Party,891901,2986,894887,55.95,Assam,Guwahati - 5,S035
152,GAURAV GOGOI,Indian National Congress,743194,8577,751771,54.04,Assam,Jorhat - 14,S0314
153,KRIPANATH MALLAH,Bharatiya Janata Party,541220,3873,545093,47.53,Assam,Karimganj - 7,S037
154,KAMAKHYA PRASAD TASA,Bharatiya Janata Party,892766,4277,897043,55.04,Assam,Kaziranga - 10,S0310
155,JOYANTA BASUMATARY,"United People’s Party, Liberal",484681,4314,488995,39.39,Assam,Kokrajhar  - 1,S031
156,PRADAN BARUAH,Bharatiya Janata Party,659307,3815,663122,54.75,Assam,Lakhimpur - 12,S0312
157,PRADYUT BORDOLOI,Indian National Congress,786620,2230,788850,50.89,Assam,Nagaon - 9,S039
158,PARIMAL SUKLABAIDYA,Bharatiya Janata Party,647572,4833,652405,59.89,Assam,Silchar  - 8,S038
159,RANJIT DUTTA,Bharatiya Janata Party,771018,4770,775788,60.21,Assam,Sonitpur - 11,S0311
160,PRADEEP KUMAR SINGH,Bharatiya Janata Party,599118,1028,600146,47.91,Bihar,Araria - 9,S049
161,SUDAMA PRASAD,Communist Party of India  (Marxist-Leninist)  (Liberation),526564,2818,529382,48.28,Bihar,Arrah - 32,S0432
162,ABHAY KUMAR SINHA,Rashtriya Janata Dal,463845,1722,465567,49.22,Bihar,Aurangabad - 37,S0437
163,GIRIDHARI YADAV,Janata Dal  (United),505674,1004,506678,49.96,Bihar,Banka - 27,S0427
164,GIRIRAJ SINGH,Bharatiya Janata Party,646912,2419,649331,50.15,Bihar,Begusarai - 24,S0424
165,AJAY KUMAR MANDAL,Janata Dal  (United),534923,1108,536031,50.38,Bihar,Bhagalpur - 26,S0426
166,SUDHAKAR SINGH,Rashtriya Janata Dal,435062,3283,438345,40.82,Bihar,Buxar - 33,S0433
167,GOPAL JEE THAKUR,Bharatiya Janata Party,565706,924,566630,55.33,Bihar,Darbhanga - 14,S0414
168,JITAN RAM MANJHI,Hindustani Awam Morcha (Secular),492732,2228,494960,51.36,Bihar,Gaya - 38,S0438
169,DR. ALOK KUMAR SUMAN,Janata Dal  (United),510329,1537,511866,48.15,Bihar,Gopalganj - 17,S0417
