S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state,constituency,value
1299,GURMEET SINGH MEET HAYER,Aam Aadmi Party,362791,1294,364085,36.06,Punjab,Sangrur - 12,S1912
1300,GURJEET SINGH AUJLA,Indian National Congress,254414,767,255181,28.18,Punjab,Amritsar - 2,S192
1301,MALVINDER SINGH KANG,Aam Aadmi Party,312241,976,313217,29.08,Punjab,Anandpur Sahib - 6,S196
1302,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,375019,1539,376558,32.71,Punjab,Bathinda - 11,S1911
1303,SARABJEET SINGH KHALSA,Independent,296922,1140,298062,29.38,Punjab,Faridkot - 9,S199
1304,AMAR SINGH,Indian National Congress,331324,1267,332591,34.14,Punjab,Fatehgarh Sahib - 8,S198
1305,SHER SINGH GHUBAYA,Indian National Congress,264712,1914,266626,23.7,Punjab,Firozpur - 10,S1910
1306,SUKHJINDER SINGH RANDHAWA,Indian National Congress,361713,2330,364043,33.78,Punjab,Gurdaspur - 1,S191
1307,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,302402,1457,303859,32.04,Punjab,Hoshiarpur - 5,S195
1308,CHARANJIT SINGH CHANNI,Indian National Congress,389509,544,390053,39.43,Punjab,Jalandhar - 4,S194
1309,AMRITPAL SINGH,Independent,402600,1830,404430,38.62,Punjab,Khadoor Sahib - 3,S193
1310,AMRINDER SINGH RAJA WARRING,Indian National Congress,321424,800,322224,30.42,Punjab,Ludhiana - 7,S197
1311,DR DHARAMVIRA GANDHI,Indian National Congress,304672,944,305616,26.54,Punjab,Patiala - 13,S1913
1312,GURMEET SINGH MEET HAYER,Aam Aadmi Party,362791,1294,364085,36.06,Punjab,Sangrur - 12,S1912
1313,GURJEET SINGH AUJLA,Indian National Congress,254414,767,255181,28.18,Punjab,Amritsar - 2,S192
1314,MALVINDER SINGH KANG,Aam Aadmi Party,312241,976,313217,29.08,Punjab,Anandpur Sahib - 6,S196
1315,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,375019,1539,376558,32.71,Punjab,Bathinda - 11,S1911
1316,SARABJEET SINGH KHALSA,Independent,296922,1140,298062,29.38,Punjab,Faridkot - 9,S199
1317,AMAR SINGH,Indian National Congress,331324,1267,332591,34.14,Punjab,Fatehgarh Sahib - 8,S198
1318,SHER SINGH GHUBAYA,Indian National Congress,264712,1914,266626,23.7,Punjab,Firozpur - 10,S1910
1319,SUKHJINDER SINGH RANDHAWA,Indian National Congress,361713,2330,364043,33.78,Punjab,Gurdaspur - 1,S191
1320,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,302402,1457,303859,32.04,Punjab,Hoshiarpur - 5,S195
1321,CHARANJIT SINGH CHANNI,Indian National Congress,389509,544,390053,39.43,Punjab,Jalandhar - 4,S194
1322,AMRITPAL SINGH,Independent,402600,1830,404430,38.62,Punjab,Khadoor Sahib - 3,S193
1323,AMRINDER SINGH RAJA WARRING,Indian National Congress,321424,800,322224,30.42,Punjab,Ludhiana - 7,S197
1324,DR DHARAMVIRA GANDHI,Indian National Congress,304672,944,305616,26.54,Punjab,Patiala - 13,S1913
1325,GURMEET SINGH MEET HAYER,Aam Aadmi Party,362791,1294,364085,36.06,Punjab,Sangrur - 12,S1912
1326,GURJEET SINGH AUJLA,Indian National Congress,254414,767,255181,28.18,Punjab,Amritsar - 2,S192
1327,MALVINDER SINGH KANG,Aam Aadmi Party,312241,976,313217,29.08,Punjab,Anandpur Sahib - 6,S196
1328,HARSIMRAT KAUR BADAL,Shiromani Akali Dal,375019,1539,376558,32.71,Punjab,Bathinda - 11,S1911
1329,SARABJEET SINGH KHALSA,Independent,296922,1140,298062,29.38,Punjab,Faridkot - 9,S199
1330,AMAR SINGH,Indian National Congress,331324,1267,332591,34.14,Punjab,Fatehgarh Sahib - 8,S198
1331,SHER SINGH GHUBAYA,Indian National Congress,264712,1914,266626,23.7,Punjab,Firozpur - 10,S1910
1332,SUKHJINDER SINGH RANDHAWA,Indian National Congress,361713,2330,364043,33.78,Punjab,Gurdaspur - 1,S191
1333,DR. RAJ KUMAR CHABBEWAL,Aam Aadmi Party,302402,1457,303859,32.04,Punjab,Hoshiarpur - 5,S195
1334,CHARANJIT SINGH CHANNI,Indian National Congress,389509,544,390053,39.43,Punjab,Jalandhar - 4,S194
1335,AMRITPAL SINGH,Independent,402600,1830,404430,38.62,Punjab,Khadoor Sahib - 3,S193
1336,AMRINDER SINGH RAJA WARRING,Indian National Congress,321424,800,322224,30.42,Punjab,Ludhiana - 7,S197
1337,DR DHARAMVIRA GANDHI,Indian National Congress,304672,944,305616,26.54,Punjab,Patiala - 13,S1913
1338,GURMEET SINGH MEET HAYER,Aam Aadmi Party,362791,1294,364085,36.06,Punjab,Sangrur - 12,S1912
1339,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,741151,6311,747462,62.23,Rajasthan,AJMER  - 13,S2013
1340,BHUPENDER YADAV,Bharatiya Janata Party,624110,7882,631992,50.42,Rajasthan,ALWAR - 8,S208
1341,RAJ KUMAR ROAT,Bharat Adivasi Party,815430,5401,820831,50.15,Rajasthan,BANSWARA  - 20,S2020
1342,UMMEDA RAM BENIWAL,Indian National Congress,699122,5554,704676,41.74,Rajasthan,BARMER - 17,S2017
1343,SANJNA JATAV,Indian National Congress,572808,7082,579890,51.18,Rajasthan,BHARATPUR  - 9,S209
1344,DAMODAR AGARWAL,Bharatiya Janata Party,803193,4447,807640,61.92,Rajasthan,BHILWARA - 23,S2023
1345,ARJUN RAM MEGHWAL,Bharatiya Janata Party,561240,5497,566737,50.68,Rajasthan,BIKANER  - 2,S202
1346,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,882334,5868,888202,59.26,Rajasthan,CHITTORGARH - 21,S2021
1347,RAHUL KASWAN,Indian National Congress,719352,8859,728211,51.12,Rajasthan,CHURU - 3,S203
1348,MURARI LAL MEENA,Indian National Congress,636868,9398,646266,60.24,Rajasthan,DAUSA  - 11,S2011
1349,KULDEEP INDORA,Indian National Congress,719896,6596,726492,51.4,Rajasthan,GANGANAGAR  - 1,S201
1350,MANJU SHARMA,Bharatiya Janata Party,878643,8207,886850,60.61,Rajasthan,JAIPUR - 7,S207
1351,RAO RAJENDRA SINGH,Bharatiya Janata Party,608189,9688,617877,48.96,Rajasthan,JAIPUR RURAL - 6,S206
1352,LUMBARAM,Bharatiya Janata Party,793705,3078,796783,54.91,Rajasthan,JALORE  - 18,S2018
1353,DUSHYANT SINGH,Bharatiya Janata Party,861850,3526,865376,60.88,Rajasthan,JHALAWAR-BARAN - 25,S2025
1354,BRIJENDRA SINGH OLA,Indian National Congress,541203,11965,553168,49.44,Rajasthan,JHUNJHUNU      - 4,S204
1355,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,722978,7078,730056,52.76,Rajasthan,JODHPUR - 16,S2016
1356,BHAJAN LAL JATAV,Indian National Congress,525379,4632,530011,53.64,Rajasthan,KARAULI-DHOLPUR  - 10,S2010
1357,OM BIRLA,Bharatiya Janata Party,744396,6100,750496,50.03,Rajasthan,KOTA - 24,S2024
1358,HANUMAN BENIWAL,Rashtriya Loktantrik Party,591460,5495,596955,48.2,Rajasthan,NAGAUR - 14,S2014
1359,P. P. CHAUDHARY,Bharatiya Janata Party,750568,6821,757389,55.94,Rajasthan,PALI - 15,S2015
1360,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,775243,5960,781203,64.4,Rajasthan,RAJSAMAND - 22,S2022
1361,AMRARAM,Communist Party of India  (Marxist),645559,13741,659300,50.68,Rajasthan,SIKAR - 5,S205
1362,HARISH CHANDRA MEENA,Indian National Congress,617137,6626,623763,50.85,Rajasthan,TONK-SAWAI MADHOPUR  - 12,S2012
1363,MANNA LAL RAWAT,Bharatiya Janata Party,732757,5529,738286,49.27,Rajasthan,UDAIPUR  - 19,S2019
1364,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,741151,6311,747462,62.23,Rajasthan,AJMER  - 13,S2013
1365,BHUPENDER YADAV,Bharatiya Janata Party,624110,7882,631992,50.42,Rajasthan,ALWAR - 8,S208
1366,RAJ KUMAR ROAT,Bharat Adivasi Party,815430,5401,820831,50.15,Rajasthan,BANSWARA  - 20,S2020
1367,UMMEDA RAM BENIWAL,Indian National Congress,699122,5554,704676,41.74,Rajasthan,BARMER - 17,S2017
1368,SANJNA JATAV,Indian National Congress,572808,7082,579890,51.18,Rajasthan,BHARATPUR  - 9,S209
1369,DAMODAR AGARWAL,Bharatiya Janata Party,803193,4447,807640,61.92,Rajasthan,BHILWARA - 23,S2023
1370,ARJUN RAM MEGHWAL,Bharatiya Janata Party,561240,5497,566737,50.68,Rajasthan,BIKANER  - 2,S202
1371,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,882334,5868,888202,59.26,Rajasthan,CHITTORGARH - 21,S2021
1372,RAHUL KASWAN,Indian National Congress,719352,8859,728211,51.12,Rajasthan,CHURU - 3,S203
1373,MURARI LAL MEENA,Indian National Congress,636868,9398,646266,60.24,Rajasthan,DAUSA  - 11,S2011
1374,KULDEEP INDORA,Indian National Congress,719896,6596,726492,51.4,Rajasthan,GANGANAGAR  - 1,S201
1375,MANJU SHARMA,Bharatiya Janata Party,878643,8207,886850,60.61,Rajasthan,JAIPUR - 7,S207
1376,RAO RAJENDRA SINGH,Bharatiya Janata Party,608189,9688,617877,48.96,Rajasthan,JAIPUR RURAL - 6,S206
1377,LUMBARAM,Bharatiya Janata Party,793705,3078,796783,54.91,Rajasthan,JALORE  - 18,S2018
1378,DUSHYANT SINGH,Bharatiya Janata Party,861850,3526,865376,60.88,Rajasthan,JHALAWAR-BARAN - 25,S2025
1379,BRIJENDRA SINGH OLA,Indian National Congress,541203,11965,553168,49.44,Rajasthan,JHUNJHUNU      - 4,S204
1380,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,722978,7078,730056,52.76,Rajasthan,JODHPUR - 16,S2016
1381,BHAJAN LAL JATAV,Indian National Congress,525379,4632,530011,53.64,Rajasthan,KARAULI-DHOLPUR  - 10,S2010
1382,OM BIRLA,Bharatiya Janata Party,744396,6100,750496,50.03,Rajasthan,KOTA - 24,S2024
1383,HANUMAN BENIWAL,Rashtriya Loktantrik Party,591460,5495,596955,48.2,Rajasthan,NAGAUR - 14,S2014
1384,P. P. CHAUDHARY,Bharatiya Janata Party,750568,6821,757389,55.94,Rajasthan,PALI - 15,S2015
1385,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,775243,5960,781203,64.4,Rajasthan,RAJSAMAND - 22,S2022
1386,AMRARAM,Communist Party of India  (Marxist),645559,13741,659300,50.68,Rajasthan,SIKAR - 5,S205
1387,HARISH CHANDRA MEENA,Indian National Congress,617137,6626,623763,50.85,Rajasthan,TONK-SAWAI MADHOPUR  - 12,S2012
1388,MANNA LAL RAWAT,Bharatiya Janata Party,732757,5529,738286,49.27,Rajasthan,UDAIPUR  - 19,S2019
1389,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,741151,6311,747462,62.23,Rajasthan,AJMER  - 13,S2013
1390,BHUPENDER YADAV,Bharatiya Janata Party,624110,7882,631992,50.42,Rajasthan,ALWAR - 8,S208
1391,RAJ KUMAR ROAT,Bharat Adivasi Party,815430,5401,820831,50.15,Rajasthan,BANSWARA  - 20,S2020
1392,UMMEDA RAM BENIWAL,Indian National Congress,699122,5554,704676,41.74,Rajasthan,BARMER - 17,S2017
1393,SANJNA JATAV,Indian National Congress,572808,7082,579890,51.18,Rajasthan,BHARATPUR  - 9,S209
1394,DAMODAR AGARWAL,Bharatiya Janata Party,803193,4447,807640,61.92,Rajasthan,BHILWARA - 23,S2023
1395,ARJUN RAM MEGHWAL,Bharatiya Janata Party,561240,5497,566737,50.68,Rajasthan,BIKANER  - 2,S202
1396,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,882334,5868,888202,59.26,Rajasthan,CHITTORGARH - 21,S2021
1397,RAHUL KASWAN,Indian National Congress,719352,8859,728211,51.12,Rajasthan,CHURU - 3,S203
1398,MURARI LAL MEENA,Indian National Congress,636868,9398,646266,60.24,Rajasthan,DAUSA  - 11,S2011
1399,KULDEEP INDORA,Indian National Congress,719896,6596,726492,51.4,Rajasthan,GANGANAGAR  - 1,S201
1400,MANJU SHARMA,Bharatiya Janata Party,878643,8207,886850,60.61,Rajasthan,JAIPUR - 7,S207
1401,RAO RAJENDRA SINGH,Bharatiya Janata Party,608189,9688,617877,48.96,Rajasthan,JAIPUR RURAL - 6,S206
1402,LUMBARAM,Bharatiya Janata Party,793705,3078,796783,54.91,Rajasthan,JALORE  - 18,S2018
1403,DUSHYANT SINGH,Bharatiya Janata Party,861850,3526,865376,60.88,Rajasthan,JHALAWAR-BARAN - 25,S2025
1404,BRIJENDRA SINGH OLA,Indian National Congress,541203,11965,553168,49.44,Rajasthan,JHUNJHUNU      - 4,S204
1405,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,722978,7078,730056,52.76,Rajasthan,JODHPUR - 16,S2016
1406,BHAJAN LAL JATAV,Indian National Congress,525379,4632,530011,53.64,Rajasthan,KARAULI-DHOLPUR  - 10,S2010
1407,OM BIRLA,Bharatiya Janata Party,744396,6100,750496,50.03,Rajasthan,KOTA - 24,S2024
1408,HANUMAN BENIWAL,Rashtriya Loktantrik Party,591460,5495,596955,48.2,Rajasthan,NAGAUR - 14,S2014
1409,P. P. CHAUDHARY,Bharatiya Janata Party,750568,6821,757389,55.94,Rajasthan,PALI - 15,S2015
1410,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,775243,5960,781203,64.4,Rajasthan,RAJSAMAND - 22,S2022
1411,AMRARAM,Communist Party of India  (Marxist),645559,13741,659300,50.68,Rajasthan,SIKAR - 5,S205
1412,HARISH CHANDRA MEENA,Indian National Congress,617137,6626,623763,50.85,Rajasthan,TONK-SAWAI MADHOPUR  - 12,S2012
1413,MANNA LAL RAWAT,Bharatiya Janata Party,732757,5529,738286,49.27,Rajasthan,UDAIPUR  - 19,S2019
1414,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,741151,6311,747462,62.23,Rajasthan,AJMER  - 13,S2013
1415,BHUPENDER YADAV,Bharatiya Janata Party,624110,7882,631992,50.42,Rajasthan,ALWAR - 8,S208
1416,RAJ KUMAR ROAT,Bharat Adivasi Party,815430,5401,820831,50.15,Rajasthan,BANSWARA  - 20,S2020
1417,UMMEDA RAM BENIWAL,Indian National Congress,699122,5554,704676,41.74,Rajasthan,BARMER - 17,S2017
1418,SANJNA JATAV,Indian National Congress,572808,7082,579890,51.18,Rajasthan,BHARATPUR  - 9,S209
1419,DAMODAR AGARWAL,Bharatiya Janata Party,803193,4447,807640,61.92,Rajasthan,BHILWARA - 23,S2023
1420,ARJUN RAM MEGHWAL,Bharatiya Janata Party,561240,5497,566737,50.68,Rajasthan,BIKANER  - 2,S202
1421,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,882334,5868,888202,59.26,Rajasthan,CHITTORGARH - 21,S2021
1422,RAHUL KASWAN,Indian National Congress,719352,8859,728211,51.12,Rajasthan,CHURU - 3,S203
1423,MURARI LAL MEENA,Indian National Congress,636868,9398,646266,60.24,Rajasthan,DAUSA  - 11,S2011
1424,KULDEEP INDORA,Indian National Congress,719896,6596,726492,51.4,Rajasthan,GANGANAGAR  - 1,S201
1425,MANJU SHARMA,Bharatiya Janata Party,878643,8207,886850,60.61,Rajasthan,JAIPUR - 7,S207
1426,RAO RAJENDRA SINGH,Bharatiya Janata Party,608189,9688,617877,48.96,Rajasthan,JAIPUR RURAL - 6,S206
1427,LUMBARAM,Bharatiya Janata Party,793705,3078,796783,54.91,Rajasthan,JALORE  - 18,S2018
1428,DUSHYANT SINGH,Bharatiya Janata Party,861850,3526,865376,60.88,Rajasthan,JHALAWAR-BARAN - 25,S2025
1429,BRIJENDRA SINGH OLA,Indian National Congress,541203,11965,553168,49.44,Rajasthan,JHUNJHUNU      - 4,S204
1430,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,722978,7078,730056,52.76,Rajasthan,JODHPUR - 16,S2016
1431,BHAJAN LAL JATAV,Indian National Congress,525379,4632,530011,53.64,Rajasthan,KARAULI-DHOLPUR  - 10,S2010
1432,OM BIRLA,Bharatiya Janata Party,744396,6100,750496,50.03,Rajasthan,KOTA - 24,S2024
1433,HANUMAN BENIWAL,Rashtriya Loktantrik Party,591460,5495,596955,48.2,Rajasthan,NAGAUR - 14,S2014
1434,P. P. CHAUDHARY,Bharatiya Janata Party,750568,6821,757389,55.94,Rajasthan,PALI - 15,S2015
1435,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,775243,5960,781203,64.4,Rajasthan,RAJSAMAND - 22,S2022
1436,AMRARAM,Communist Party of India  (Marxist),645559,13741,659300,50.68,Rajasthan,SIKAR - 5,S205
1437,HARISH CHANDRA MEENA,Indian National Congress,617137,6626,623763,50.85,Rajasthan,TONK-SAWAI MADHOPUR  - 12,S2012
1438,MANNA LAL RAWAT,Bharatiya Janata Party,732757,5529,738286,49.27,Rajasthan,UDAIPUR  - 19,S2019
1439,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,741151,6311,747462,62.23,Rajasthan,AJMER  - 13,S2013
1440,BHUPENDER YADAV,Bharatiya Janata Party,624110,7882,631992,50.42,Rajasthan,ALWAR - 8,S208
1441,RAJ KUMAR ROAT,Bharat Adivasi Party,815430,5401,820831,50.15,Rajasthan,BANSWARA  - 20,S2020
1442,UMMEDA RAM BENIWAL,Indian National Congress,699122,5554,704676,41.74,Rajasthan,BARMER - 17,S2017
1443,SANJNA JATAV,Indian National Congress,572808,7082,579890,51.18,Rajasthan,BHARATPUR  - 9,S209
1444,DAMODAR AGARWAL,Bharatiya Janata Party,803193,4447,807640,61.92,Rajasthan,BHILWARA - 23,S2023
1445,ARJUN RAM MEGHWAL,Bharatiya Janata Party,561240,5497,566737,50.68,Rajasthan,BIKANER  - 2,S202
1446,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,882334,5868,888202,59.26,Rajasthan,CHITTORGARH - 21,S2021
1447,RAHUL KASWAN,Indian National Congress,719352,8859,728211,51.12,Rajasthan,CHURU - 3,S203
1448,MURARI LAL MEENA,Indian National Congress,636868,9398,646266,60.24,Rajasthan,DAUSA  - 11,S2011
1449,KULDEEP INDORA,Indian National Congress,719896,6596,726492,51.4,Rajasthan,GANGANAGAR  - 1,S201
1450,MANJU SHARMA,Bharatiya Janata Party,878643,8207,886850,60.61,Rajasthan,JAIPUR - 7,S207
1451,RAO RAJENDRA SINGH,Bharatiya Janata Party,608189,9688,617877,48.96,Rajasthan,JAIPUR RURAL - 6,S206
1452,LUMBARAM,Bharatiya Janata Party,793705,3078,796783,54.91,Rajasthan,JALORE  - 18,S2018
1453,DUSHYANT SINGH,Bharatiya Janata Party,861850,3526,865376,60.88,Rajasthan,JHALAWAR-BARAN - 25,S2025
1454,BRIJENDRA SINGH OLA,Indian National Congress,541203,11965,553168,49.44,Rajasthan,JHUNJHUNU      - 4,S204
1455,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,722978,7078,730056,52.76,Rajasthan,JODHPUR - 16,S2016
1456,BHAJAN LAL JATAV,Indian National Congress,525379,4632,530011,53.64,Rajasthan,KARAULI-DHOLPUR  - 10,S2010
1457,OM BIRLA,Bharatiya Janata Party,744396,6100,750496,50.03,Rajasthan,KOTA - 24,S2024
1458,HANUMAN BENIWAL,Rashtriya Loktantrik Party,591460,5495,596955,48.2,Rajasthan,NAGAUR - 14,S2014
1459,P. P. CHAUDHARY,Bharatiya Janata Party,750568,6821,757389,55.94,Rajasthan,PALI - 15,S2015
1460,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,775243,5960,781203,64.4,Rajasthan,RAJSAMAND - 22,S2022
1461,AMRARAM,Communist Party of India  (Marxist),645559,13741,659300,50.68,Rajasthan,SIKAR - 5,S205
1462,HARISH CHANDRA MEENA,Indian National Congress,617137,6626,623763,50.85,Rajasthan,TONK-SAWAI MADHOPUR  - 12,S2012
1463,MANNA LAL RAWAT,Bharatiya Janata Party,732757,5529,738286,49.27,Rajasthan,UDAIPUR  - 19,S2019
1464,INDRA HANG SUBBA,Sikkim Krantikari Morcha,156836,7560,164396,42.71,Sikkim,Sikkim - 1,S211
1465,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,560578,2638,563216,48.39,Tamil Nadu,ARAKKONAM - 7,S227
1466,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,497083,3016,500099,43.86,Tamil Nadu,ARANI - 12,S2212
1467,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,412286,1562,413848,56.65,Tamil Nadu,CHENNAI CENTRAL - 4,S224
1468,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,495733,1600,497333,55.11,Tamil Nadu,CHENNAI NORTH - 2,S222
1469,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,515307,1321,516628,47,Tamil Nadu,CHENNAI SOUTH - 3,S223
1470,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,501851,3233,505084,43.28,Tamil Nadu,CHIDAMBARAM - 27,S2227
1471,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,565428,2772,568200,41.39,Tamil Nadu,COIMBATORE - 20,S2220
1472,M.K. VISHNUPRASAD,Indian National Congress,450401,4652,455053,44.11,Tamil Nadu,CUDDALORE - 26,S2226
1473,MANI. A.,Dravida Munnetra Kazhagam,429301,3366,432667,34.67,Tamil Nadu,DHARMAPURI - 10,S2210
1474,SACHITHANANTHAM R,Communist Party of India  (Marxist),667391,2758,670149,58.29,Tamil Nadu,DINDIGUL - 22,S2222
1475,K E PRAKASH,Dravida Munnetra Kazhagam,558849,3490,562339,51.43,Tamil Nadu,ERODE - 17,S2217
1476,MALAIYARASAN D,Dravida Munnetra Kazhagam,558346,3243,561589,44.94,Tamil Nadu,KALLAKURICHI - 14,S2214
1477,SELVAM. G,Dravida Munnetra Kazhagam,582978,3066,586044,46.53,Tamil Nadu,KANCHEEPURAM - 6,S226
1478,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,540267,5981,546248,53.08,Tamil Nadu,KANNIYAKUMARI - 39,S2239
1479,JOTHIMANI. S,Indian National Congress,531829,3077,534906,47.25,Tamil Nadu,KARUR - 23,S2223
1480,GOPINATH K,Indian National Congress,491131,1752,492883,42.27,Tamil Nadu,KRISHNAGIRI - 9,S229
1481,VENKATESAN S,Communist Party of India  (Marxist),428201,2122,430323,43.6,Tamil Nadu,MADURAI - 32,S2232
1482,SUDHA R,Indian National Congress,516534,1925,518459,47.67,Tamil Nadu,MAYILADUTHURAI - 28,S2228
1483,SELVARAJ V,Communist Party of India,462759,2285,465044,47.79,Tamil Nadu,NAGAPATTINAM - 29,S2229
1484,MATHESWARAN V S,Dravida Munnetra Kazhagam,457695,4341,462036,40.31,Tamil Nadu,NAMAKKAL - 16,S2216
1485,RAJA A,Dravida Munnetra Kazhagam,470729,2483,473212,46.44,Tamil Nadu,NILGIRIS - 19,S2219
1486,ARUN NEHRU,Dravida Munnetra Kazhagam,598003,5206,603209,53.42,Tamil Nadu,PERAMBALUR - 25,S2225
1487,ESWARASAMY K,Dravida Munnetra Kazhagam,530742,2635,533377,47.37,Tamil Nadu,POLLACHI - 21,S2221
1488,NAVASKANI K,Indian Union Muslim League,506690,2974,509664,45.92,Tamil Nadu,RAMANATHAPURAM - 35,S2235
1489,SELVAGANAPATHI T M,Dravida Munnetra Kazhagam,562022,4063,566085,43.38,Tamil Nadu,SALEM - 15,S2215
1490,KARTI P CHIDAMBARAM,Indian National Congress,425631,2046,427677,40.6,Tamil Nadu,SIVAGANGA - 31,S2231
1491,T R BAALU,Dravida Munnetra Kazhagam,755671,2940,758611,52.65,Tamil Nadu,SRIPERUMBUDUR - 5,S225
1492,DR RANI SRI KUMAR,Dravida Munnetra Kazhagam,423025,2654,425679,40.97,Tamil Nadu,TENKASI - 37,S2237
1493,MURASOLI S,Dravida Munnetra Kazhagam,498822,3423,502245,48.82,Tamil Nadu,THANJAVUR - 30,S2230
1494,THANGA TAMILSELVAN,Dravida Munnetra Kazhagam,569110,2383,571493,50.08,Tamil Nadu,THENI - 33,S2233
1495,KANIMOZHI KARUNANIDHI,Dravida Munnetra Kazhagam,537879,2850,540729,55.26,Tamil Nadu,THOOTHUKKUDI - 36,S2236
1496,DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam,538877,3336,542213,51.35,Tamil Nadu,TIRUCHIRAPPALLI - 24,S2224
1497,ROBERT BRUCE C,Indian National Congress,499493,2803,502296,47.06,Tamil Nadu,TIRUNELVELI - 38,S2238
1498,"SUBBARAYAN, K.",Communist Party of India,470195,2544,472739,41.38,Tamil Nadu,TIRUPPUR - 18,S2218
1499,Sasikanth Senthil,Indian National Congress,794608,2348,796956,56.21,Tamil Nadu,TIRUVALLUR - 1,S221
1500,"ANNADURAI, C.N.",Dravida Munnetra Kazhagam,543857,3522,547379,47.75,Tamil Nadu,TIRUVANNAMALAI - 11,S2211
1501,DM KATHIR ANAND,Dravida Munnetra Kazhagam,566435,2257,568692,50.35,Tamil Nadu,VELLORE - 8,S228
1502,RAVIKUMAR. D,Viduthalai Chiruthaigal Katchi,474230,2803,477033,41.39,Tamil Nadu,VILUPPURAM - 13,S2213
1503,MANICKAM TAGORE B,Indian National Congress,382876,2380,385256,36.28,Tamil Nadu,VIRUDHUNAGAR - 34,S2234
1504,S JAGATHRATCHAKAN,Dravida Munnetra Kazhagam,560578,2638,563216,48.39,Tamil Nadu,ARAKKONAM - 7,S227
1505,THARANIVENTHAN M S,Dravida Munnetra Kazhagam,497083,3016,500099,43.86,Tamil Nadu,ARANI - 12,S2212
1506,DAYANIDHI MARAN,Dravida Munnetra Kazhagam,412286,1562,413848,56.65,Tamil Nadu,CHENNAI CENTRAL - 4,S224
1507,DR.KALANIDHI VEERASWAMY,Dravida Munnetra Kazhagam,495733,1600,497333,55.11,Tamil Nadu,CHENNAI NORTH - 2,S222
1508,T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,Dravida Munnetra Kazhagam,515307,1321,516628,47,Tamil Nadu,CHENNAI SOUTH - 3,S223
1509,THIRUMAAVALAVAN THOL,Viduthalai Chiruthaigal Katchi,501851,3233,505084,43.28,Tamil Nadu,CHIDAMBARAM - 27,S2227
1510,GANAPATHY RAJKUMAR P,Dravida Munnetra Kazhagam,565428,2772,568200,41.39,Tamil Nadu,COIMBATORE - 20,S2220
1511,M.K. VISHNUPRASAD,Indian National Congress,450401,4652,455053,44.11,Tamil Nadu,CUDDALORE - 26,S2226
1512,MANI. A.,Dravida Munnetra Kazhagam,429301,3366,432667,34.67,Tamil Nadu,DHARMAPURI - 10,S2210
1513,SACHITHANANTHAM R,Communist Party of India  (Marxist),667391,2758,670149,58.29,Tamil Nadu,DINDIGUL - 22,S2222
1514,K E PRAKASH,Dravida Munnetra Kazhagam,558849,3490,562339,51.43,Tamil Nadu,ERODE - 17,S2217
1515,MALAIYARASAN D,Dravida Munnetra Kazhagam,558346,3243,561589,44.94,Tamil Nadu,KALLAKURICHI - 14,S2214
1516,SELVAM. G,Dravida Munnetra Kazhagam,582978,3066,586044,46.53,Tamil Nadu,KANCHEEPURAM - 6,S226
1517,VIJAYAKUMAR (Alias) VIJAY VASANTH,Indian National Congress,540267,5981,546248,53.08,Tamil Nadu,KANNIYAKUMARI - 39,S2239
1518,JOTHIMANI. S,Indian National Congress,531829,3077,534906,47.25,Tamil Nadu,KARUR - 23,S2223
1519,GOPINATH K,Indian National Congress,491131,1752,492883,42.27,Tamil Nadu,KRISHNAGIRI - 9,S229
